Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against,Poss_last3,Poss_last5,Shots_For_last3,Shots_For_last5,ShotsT_For_last3,ShotsT_For_last5,Shots_Against_last3,Shots_Against_last5,ShotsT_Against_last3,ShotsT_Against_last5,XG_for_last3,XG_for_last5,XG_against_last3,XG_against_last5,GF_last3,GF_last5,GA_last3,GA_last5,Result_last3,Result_last5,Home_Poss_last3,Away_Poss_last3,Home_XG_for_last3,Away_XG_for_last3,Home_XG_against_last3,Away_XG_against_last3,Home_Result_last3,Away_Result_last3,XG_Diff_last3,XG_Diff_last5,Goal_Diff_last3,Goal_Diff_last5,Home_XG_Diff_last3,Away_XG_Diff_last3,Home_Goal_Diff_last3,Away_Goal_Diff_last3
2026-02-10,Premier League,1,0,1.0,2.0,Bournemouth,53.0,16.0,6.0,37.5,11.0,4.0,36.4,2.33114,1.4121,50.0,46.4,11.0,11.0,3.3333,3.0,12.6667,3.6,3.0,13.6,1.353,1.2876,1.7687,1.385,1.3333,1.2,1.0,0.8,1.6667,1.8,49.3333,,1.1763,,1.8139,,0.6667,,-0.4157,-0.0974,0.3333,0.4,-0.6376,,-0.6667,
2026-02-23,Premier League,1,0,0.0,1.0,Manchester Utd,48.0,12.0,4.0,33.3,11.0,3.0,27.3,0.560924,1.4547,48.3333,48.0,13.0,11.6,4.3333,3.8,11.6667,3.6,3.0,13.4,1.8334,1.4272,1.6805,1.5247,1.3333,1.2,1.3333,1.0,1.3333,1.6,52.0,,1.6181,,1.2673,,0.6667,,0.1529,-0.0975,0.0,0.2,0.3508,,-0.3333,
2026-02-28,Premier League,0,3,3.0,2.0,Newcastle,34.0,9.0,5.0,55.6,17.0,7.0,41.2,2.40731,1.11889,48.6667,50.2,14.6667,12.2,4.3333,4.0,11.6667,3.2,3.3333,12.0,1.5933,1.3902,1.6894,1.6346,1.0,1.0,1.3333,1.2,1.0,1.0,,43.0,,1.305,,1.5116,,2.3333,-0.0961,-0.2444,-0.3333,-0.2,,-0.2067,,0.6667
2026-03-03,Premier League,1,3,2.0,0.0,Burnley,56.0,14.0,5.0,35.7,5.0,2.0,40.0,1.15845,0.762229,45.0,45.4,12.3333,12.0,5.0,4.4,13.0,3.8,4.6667,12.6,1.7665,1.6937,1.3286,1.523,1.3333,1.4,1.6667,1.4,1.0,1.4,53.0,,1.2607,,1.5145,,0.3333,,0.4379,0.1706,-0.3333,0.0,-0.2538,,-0.6667,
2026-03-14,Premier League,0,0,0.0,2.0,Arsenal,35.0,9.0,3.0,33.3,25.0,7.0,28.0,1.17847,1.90855,46.0,47.2,11.6667,13.4,4.6667,4.6,11.0,3.8,4.0,11.4,1.3756,1.6691,1.1119,1.3898,1.6667,1.6,1.0,1.2,2.0,1.8,,42.0,,1.8588,,1.5828,,2.3333,0.2636,0.2793,0.6667,0.4,,0.276,,0.6667
2026-03-21,Premier League,1,3,3.0,0.0,Chelsea,36.0,10.0,9.0,90.0,12.0,4.0,33.3,1.44532,1.35143,41.6667,45.2,10.6667,12.0,4.3333,4.6,15.6667,4.6,5.3333,13.8,1.5814,1.5273,1.2632,1.3313,1.6667,1.2,1.3333,1.4,2.0,1.2,52.3333,,1.3502,,1.2097,,1.0,,0.3182,0.196,0.3333,-0.2,0.1405,,0.0,
2026-04-11,Premier League,0,1,2.0,2.0,Brentford,45.0,14.0,7.0,50.0,17.0,4.0,23.5,1.57033,2.26302,42.3333,41.8,11.0,10.8,5.6667,5.2,14.0,4.6,4.3333,14.0,1.2607,1.3501,1.3407,1.3192,1.6667,1.6,0.6667,1.0,2.0,1.8,,38.0,,1.8245,,1.7429,,2.0,-0.08,0.0309,1.0,0.6,,0.0816,,0.0
2026-04-19,Premier League,1,0,1.0,2.0,Liverpool,44.0,10.0,4.0,40.0,14.0,6.0,42.9,1.4784,1.38333,38.6667,41.2,11.0,11.2,6.3333,5.8,18.0,4.8,5.0,15.2,1.398,1.552,1.841,1.4808,1.6667,2.0,1.3333,1.2,1.3333,2.0,46.6667,,1.0549,,1.1895,,2.0,,-0.443,0.0712,0.3333,0.8,-0.1346,,1.3333,
2026-04-25,Premier League,0,0,1.0,2.0,West Ham,56.0,11.0,3.0,27.3,10.0,3.0,30.0,1.1144,1.8356,41.6667,43.2,11.3333,11.4,6.6667,5.6,14.3333,4.6,4.6667,14.6,1.498,1.3662,1.6659,1.5337,2.0,1.6,1.3333,1.2,1.3333,1.4,,38.0,,1.7187,,1.7635,,1.3333,-0.1679,-0.1675,0.6667,0.4,,-0.0448,,-0.3333
2026-05-04,Premier League,1,1,3.0,3.0,Manchester City,25.0,14.0,6.0,42.9,21.0,4.0,19.0,1.68558,1.41706,48.3333,43.2,11.6667,10.8,4.6667,5.2,13.6667,4.8,4.3333,15.6,1.3877,1.3574,1.8273,1.7484,1.3333,1.4,2.0,1.6,0.3333,0.8,45.3333,,1.3607,,1.1657,,2.0,,-0.4396,-0.391,-0.6667,-0.2,0.1951,,1.3333,
2026-05-10,Premier League,0,1,2.0,2.0,Crystal Palace,41.0,13.0,6.0,46.2,21.0,8.0,38.1,2.10265,3.28826,41.6667,41.2,11.6667,11.8,4.3333,5.8,15.0,4.2,4.3333,14.8,1.4261,1.4588,1.5453,1.6501,1.6667,2.0,2.3333,1.8,0.3333,1.0,,45.3333,,1.2877,,2.0024,,0.3333,-0.1192,-0.1913,-0.6667,0.2,,-0.7147,,-1.0
2026-05-17,Premier League,1,0,1.0,3.0,Sunderland,49.0,10.0,4.0,40.0,7.0,3.0,42.9,1.32181,1.28383,40.6667,42.2,12.6667,12.4,5.0,5.2,17.3333,5.0,5.0,16.6,1.6342,1.5903,2.1803,2.0375,2.0,1.8,2.3333,2.2,0.6667,0.6,35.0,,1.5364,,1.3839,,1.3333,,-0.5461,-0.4472,-0.3333,-0.4,0.1525,,0.6667,
2026-05-24,Premier League,0,0,0.0,1.0,Tottenham,50.0,10.0,1.0,10.0,20.0,2.0,10.0,0.268476,1.40597,38.3333,43.0,12.3333,11.6,5.3333,4.6,16.3333,4.8,5.0,14.6,1.7033,1.5406,1.9964,1.8416,2.0,1.6,2.6667,2.4,0.6667,0.4,,47.3333,,1.5958,,2.4623,,0.6667,-0.293,-0.301,-0.6667,-0.8,,-0.8665,,-0.3333
2026-08-22,Premier League,1,3,2.0,0.0,Crystal Palace,42.0,16.0,5.0,31.3,11.0,4.0,36.4,1.45085,2.23095,46.6667,44.2,11.0,11.6,3.6667,4.0,16.0,4.0,4.3333,15.8,1.231,1.2986,1.9927,1.8461,1.0,1.4,2.0,2.2,0.3333,0.4,39.3333,,1.4953,,1.3614,,0.3333,,-0.7617,-0.5476,-1.0,-0.8,0.1339,,-1.0,
2026-08-29,Premier League,0,1,1.0,1.0,Bournemouth,42.0,13.0,7.0,53.8,17.0,5.0,29.4,1.66352,2.25803,47.0,41.4,12.0,12.6,3.3333,4.4,12.6667,4.2,3.0,16.0,1.0137,1.3659,1.6402,1.9252,1.0,1.6,1.3333,1.8,1.0,1.0,,49.0,,1.1618,,2.1766,,0.3333,-0.6265,-0.5593,-0.3333,-0.2,,-1.0148,,-0.6667
